(0, 8.3537989495498071),
(1201, 7.3312575925396599),
(2402, 6.8915526296984426),
(3603, 6.7603758753751606),
(4804, 6.7124973202801197),
(6005, 6.6980040553094184),
(7206, 6.6906656424181792),
(8407, 6.6853423788766611),
(9608, 6.731956552808346),
(10809, 6.6824688259253966),
(12010, 6.6804228597970559),
(13211, 6.6986002929827073),
(14412, 6.6922145205087897),
(15613, 6.666424003144205),
(16814, 6.7345643668715161),
(18015, 6.7097037123052736),
(19216, 6.6913096684293265),
(20417, 6.6793657103044159),
(21618, 6.6767319922824067),
(22819, 6.7029472452479633),
(24020, 6.7071325210804629),
(25221, 6.7078448799485493),
(26422, 6.7067618264970701),
(27623, 6.7090753179934257),
(28824, 6.7062446405602403),
(30025, 6.70728660497356),
(31226, 6.7025886094040299),
(32427, 6.7028994569101039),
(33628, 6.7001161211947977),
(34829, 6.6997632914106049),
(36030, 6.6999017436044017),
(37231, 6.6990652243818776),
(38432, 6.6987615227954835),
(39633, 6.6986972095183654),
(40834, 6.6987405316564246),
(42035, 6.6985493783049881),
(43236, 6.6984448692296699),
(44437, 6.6983966342718304),
(45638, 6.6983868086322707),
(46839, 6.6984033335715303),
(48040, 6.6983501857939114),
(49241, 6.6983108832356724),
(50442, 6.6982831927969126),
(51643, 6.6982644347577533),
(52844, 6.6982537158782334),
(54045, 6.698249249678434),
(55246, 6.6982496962984133),
(56447, 6.6982269186794339),
(57648, 6.6982063741603541),
(58849, 6.698188062741175),
(60050, 6.6981715378019153),
(61251, 6.6981567993425752),
(62452, 6.6981434007431755),
(63653, 6.6981317886236962),
(64854, 6.6981210697441762),
(66055, 6.6981121373445767),
(67256, 6.6981040981849365),
(68457, 6.6980965056452764),
(69658, 6.6980902529655566),
(70859, 6.6980840002858368),
(72060, 6.6980795340860366),
(73261, 6.6980746212662572),
(74462, 6.6980706016864371),
(75663, 6.6980670287265971),
(76864, 6.6980643490067173),
(78065, 6.6980616692868375),
(79266, 6.698059436186937),
(80467, 6.6980572030870373),
(81668, 6.698055863227097),
(82869, 6.6980545233671576),
(84070, 6.6980531835072172),
(85271, 6.698052290267257),
(86472, 6.6980513970272977),
(87673, 6.6980513970272977),
(88874, 6.6980509504073176),
(90075, 6.6980509504073176),
(91276, 6.6980509504073176),
(92477, 6.6980509504073176),
(93678, 6.6980509504073176),
(94879, 6.6980513970272977),
(96080, 6.6980500571673574),
(97281, 6.6980482706874378),
(98482, 6.6980469308274975),
(99683, 6.6980464842075174),
(100884, 6.6980455909675571),
(102085, 6.6980446977275978),
(103286, 6.6980438044876376),
(104487, 6.6980433578676575),
(105688, 6.6980424646276973),
(106889, 6.698042018007718),
(108090, 6.698042018007718),
(109291, 6.698042018007718),
(110492, 6.6980415713877379),
(111693, 6.6980415713877379),
(112894, 6.698042018007718),
(114095, 6.6980223667285976),
(115296, 6.6980036086894383),
(116497, 6.697984850650279),
(117698, 6.6979660926111189),
(118899, 6.6979482278119198),
