(0, 8.3536408460768907),
(24020, 6.7714618765185079),
(48040, 7.1215239566957269),
(72060, 6.5810213305702447),
(96080, 6.6688160997570387),
(120100, 6.6524358653708733),
(144120, 6.7153619408317846),
(168140, 6.6904369729884232),
(192160, 6.7418170287265973),
(216180, 6.7680068243532947),
(240200, 6.7709437973417179),
(264220, 6.724447977704731),
(288240, 6.7179929791339141),
(312260, 6.7123200121480631),
(336280, 6.7023666392739747),
(360300, 6.7046296627125912),
(384320, 6.6631520651707872),
(408340, 6.6618925968272116),
(432360, 6.665541482063742),
(456380, 6.6568154208946693),
(480400, 6.6568524903530086),
(504420, 6.6527806559954268),
(528440, 6.6524541767900525),
(552460, 6.6522585572388166),
(576480, 6.6522036229812773),
(600500, 6.652056238387881),
(624520, 6.651963341432042),
(648540, 6.6520258682292415),
(672560, 6.6508963662998424),
(696580, 6.6507780120051452),
(720600, 6.6506672502501072),
(744620, 6.6505743532942692),
(768640, 6.6505082535372306),
(792660, 6.6504635915392312),
(816680, 6.6504300950407318),
(840700, 6.6503890060025723),
(864720, 6.6503264792053738),
(888740, 6.6502822638273544),
(912760, 6.6502777976275551),
(936780, 6.6503099542661142),
(960800, 6.649805720308704),
(984820, 6.6498544018865227),
(1008840, 6.6497280084321853),
(1032860, 6.6497820494497644),
(1056880, 6.6497829426897246),
(1080900, 6.6497570387308844),
(1104920, 6.6497766900100039),
(1128940, 6.6497561454909251),
(1152960, 6.6497583785908247),
(1176980, 6.6497047841932257),
